Nr,exercise,question,answer,german,english,french,person,case_english,case_french,gender_english,gender_french,verb_german,verb_english,verb_french,explanation_english_article,explanation_french_article,valency_english,valency_french,explanation_english_valency,explanation_french_valency,explanation_english_verb,explanation_french_verb,explanation_english,explanation_french
215,7,Es ist noch _____ drinnen geblieben.,niemand,Es ist noch niemand drinnen geblieben.,No one has stayed inside yet.,Personne n'est encore resté à l'intérieur.,niemand,Nominative,Nominatif,,,bleiben,"to remain, to stay",rester,"niemand, Nominative → niemand","niemand, Nominatif → niemand",Nominative,Nominatif,bleiben → Nominative,bleiben → Nominatif,,,"niemand, Nominative → niemand<br><br>bleiben → Nominative<br><br>bleiben = to remain, to stay","niemand, Nominatif → niemand<br><br>bleiben → Nominatif<br><br>bleiben = rester"
216,8,Er wird _____ erfahrener Manager nach einigen Jahren im Unternehmen.,ein,Er wird ein erfahrener Manager nach einigen Jahren im Unternehmen.,He becomes an experienced manager after a few years in the company.,Il devient un manager expérimenté après quelques années dans l’entreprise.,ein,Nominative,Nominatif,Masculine,Masculin,werden,"to become, will, to be done (passive voice)",devenir,"ein, Masculine, Nominative → ein","ein, Masculin, Nominatif → ein",Nominative or Dative,Nominatif ou Datif,werden → Nominative or Dative,werden → Nominatif ou Datif,,,"ein, Masculine, Nominative → ein<br><br>werden → Nominative or Dative<br><br>werden = to become, will, to be done (passive voice)","ein, Masculin, Nominatif → ein<br><br>werden → Nominatif ou Datif<br><br>werden = devenir"
217,8,Die Situation wird _____ ernstes Problem für das Unternehmen.,ein,Die Situation wird ein ernstes Problem für das Unternehmen.,The situation becomes a serious problem for the company.,La situation devient un problème sérieux pour l’entreprise.,ein,Nominative,Nominatif,Neuter,Neutre,werden,"to become, will, to be done (passive voice)",devenir,"ein, Neuter, Nominative → ein","ein, Neutre, Nominatif → ein",Nominative or Dative,Nominatif ou Datif,werden → Nominative or Dative,werden → Nominatif ou Datif,,,"ein, Neuter, Nominative → ein<br><br>werden → Nominative or Dative<br><br>werden = to become, will, to be done (passive voice)","ein, Neutre, Nominatif → ein<br><br>werden → Nominatif ou Datif<br><br>werden = devenir"
218,8,Sie wird _____ wichtige Ansprechpartnerin für das Projektteam.,eine,Sie wird eine wichtige Ansprechpartnerin für das Projektteam.,She becomes an important contact person for the project team.,Elle devient une interlocutrice importante pour l’équipe du projet.,ein,Nominative,Nominatif,Feminine,Féminin,werden,"to become, will, to be done (passive voice)",devenir,"ein, Feminine, Nominative → eine","ein, Féminin, Nominatif → eine",Nominative or Dative,Nominatif ou Datif,werden → Nominative or Dative,werden → Nominatif ou Datif,,,"ein, Feminine, Nominative → eine<br><br>werden → Nominative or Dative<br><br>werden = to become, will, to be done (passive voice)","ein, Féminin, Nominatif → eine<br><br>werden → Nominatif ou Datif<br><br>werden = devenir"
219,9,Die Lösung erscheint _____ zu kompliziert.,mir,Die Lösung erscheint mir zu kompliziert.,The solution seems too complicated to me.,La solution me semble trop compliquée.,ich,Dative,Datif,,,scheinen,"to shine, to seem (formal)","briller, paraître (formel)","ich, Dative → mir","ich, Datif → mir",Nominative or Dative,Nominatif ou Datif,scheinen → Nominative or Dative,scheinen → Nominatif ou Datif,,,"ich, Dative → mir<br><br>scheinen → Nominative or Dative<br><br>scheinen = to shine, to seem (formal)","ich, Datif → mir<br><br>scheinen → Nominatif ou Datif<br><br>scheinen = briller, paraître (formel)"
220,9,Das Ergebnis erscheint _____ nicht ganz richtig.,ihm,Das Ergebnis erscheint ihm nicht ganz richtig.,The result does not seem entirely correct to him.,Le résultat ne lui semble pas tout à fait correct.,er,Dative,Datif,,,scheinen,"to shine, to seem (formal)","briller, paraître (formel)","er, Dative → ihm","er, Datif → ihm",Nominative or Dative,Nominatif ou Datif,scheinen → Nominative or Dative,scheinen → Nominatif ou Datif,,,"er, Dative → ihm<br><br>scheinen → Nominative or Dative<br><br>scheinen = to shine, to seem (formal)","er, Datif → ihm<br><br>scheinen → Nominatif ou Datif<br><br>scheinen = briller, paraître (formel)"
221,9,Dieser Ansatz erscheint _____ viel sinnvoller.,uns,Dieser Ansatz erscheint uns viel sinnvoller.,This approach seems much more reasonable to us.,Cette approche nous semble nettement plus raisonnable.,wir,Dative,Datif,,,scheinen,"to shine, to seem (formal)","briller, paraître (formel)","wir, Dative → uns","wir, Datif → uns",Nominative or Dative,Nominatif ou Datif,scheinen → Nominative or Dative,scheinen → Nominatif ou Datif,,,"wir, Dative → uns<br><br>scheinen → Nominative or Dative<br><br>scheinen = to shine, to seem (formal)","wir, Datif → uns<br><br>scheinen → Nominatif ou Datif<br><br>scheinen = briller, paraître (formel)"
222,7,Er vergleicht _____ Ergebnisse sorgfältig mit den früheren Daten.,die,Er vergleicht die Ergebnisse sorgfältig mit den früheren Daten.,He carefully compares the results with the earlier data.,Il compare soigneusement les résultats avec les données précédentes.,der/die/das,Accusative,Accusatif,Feminine,Féminin,vergleichen,to compare,comparer,"der/die/das, Feminine, Accusative → die","der/die/das, Féminin, Accusatif → die",Accusative,Accusatif,vergleichen → Accusative,vergleichen → Accusatif,,,"der/die/das, Feminine, Accusative → die<br><br>vergleichen → Accusative<br><br>vergleichen = to compare","der/die/das, Féminin, Accusatif → die<br><br>vergleichen → Accusatif<br><br>vergleichen = comparer"
223,8,Die Kunden erwarten _____ schnelle Antwort auf ihre Anfrage.,eine,Die Kunden erwarten eine schnelle Antwort auf ihre Anfrage.,The customers expect a quick response to their request.,Les clients attendent une réponse rapide à leur demande.,ein,Accusative,Accusatif,Feminine,Féminin,erwarten,"to expect, to await",s'attendre à,"ein, Feminine, Accusative → eine","ein, Féminin, Accusatif → eine",Accusative,Accusatif,erwarten → Accusative,erwarten → Accusatif,,,"ein, Feminine, Accusative → eine<br><br>erwarten → Accusative<br><br>erwarten = to expect, to await","ein, Féminin, Accusatif → eine<br><br>erwarten → Accusatif<br><br>erwarten = s'attendre à"
224,9,Er behält _____ wichtigen Informationen für die Präsentation im Kopf.,die,Er behält die wichtigen Informationen für die Präsentation im Kopf.,He keeps the important information in mind for the presentation.,Il garde les informations importantes en tête pour la présentation.,der/die/das,Accusative,Accusatif,Plural,Pluriel,behalten,to keep,garder,"der/die/das, Plural, Accusative → die","der/die/das, Pluriel, Accusatif → die",Accusative,Accusatif,behalten → Accusative,behalten → Accusatif,,,"der/die/das, Plural, Accusative → die<br><br>behalten → Accusative<br><br>behalten = to keep","der/die/das, Pluriel, Accusatif → die<br><br>behalten → Accusatif<br><br>behalten = garder"
225,7,Das Unternehmen entwickelt _____ neue Strategie für den internationalen Markt.,eine,Das Unternehmen entwickelt eine neue Strategie für den internationalen Markt.,The company develops a new strategy for the international market.,L’entreprise développe une nouvelle stratégie pour le marché international.,ein,Accusative,Accusatif,Feminine,Féminin,entwickeln,"to develop, to evolve, to create","développer, évoluer, créer","ein, Feminine, Accusative → eine","ein, Féminin, Accusatif → eine",Accusative,Accusatif,entwickeln → Accusative,entwickeln → Accusatif,,,"ein, Feminine, Accusative → eine<br><br>entwickeln → Accusative<br><br>entwickeln = to develop, to evolve, to create","ein, Féminin, Accusatif → eine<br><br>entwickeln → Accusatif<br><br>entwickeln = développer, évoluer, créer"
226,8,Er wechselt _____ Job nach mehreren Jahren in derselben Firma.,den,Er wechselt den Job nach mehreren Jahren in derselben Firma.,He changes jobs after several years in the same company.,Il change de travail après plusieurs années dans la même entreprise.,der/die/das,Accusative,Accusatif,Masculine,Masculin,wechseln,"to change, to switch, to exchange","changer, échanger","der/die/das, Masculine, Accusative → den","der/die/das, Masculin, Accusatif → den",Accusative,Accusatif,wechseln → Accusative,wechseln → Accusatif,,,"der/die/das, Masculine, Accusative → den<br><br>wechseln → Accusative<br><br>wechseln = to change, to switch, to exchange","der/die/das, Masculin, Accusatif → den<br><br>wechseln → Accusatif<br><br>wechseln = changer, échanger"
227,9,Er erhält _____ wichtige Auszeichnung für seine Arbeit.,eine,Er erhält eine wichtige Auszeichnung für seine Arbeit.,He receives an important award for his work.,Il reçoit une distinction importante pour son travail.,ein,Accusative,Accusatif,Feminine,Féminin,erhalten,"to receive, to get, to obtain, to preserve","recevoir, obtenir, acquérir, préserver","ein, Feminine, Accusative → eine","ein, Féminin, Accusatif → eine",Accusative,Accusatif,erhalten → Accusative,erhalten → Accusatif,,,"ein, Feminine, Accusative → eine<br><br>erhalten → Accusative<br><br>erhalten = to receive, to get, to obtain, to preserve","ein, Féminin, Accusatif → eine<br><br>erhalten → Accusatif<br><br>erhalten = recevoir, obtenir, acquérir, préserver"
228,7,Die Grafik stellt _____ Entwicklung der Zahlen über mehrere Jahre dar.,die,Die Grafik stellt die Entwicklung der Zahlen über mehrere Jahre dar.,The chart shows the development of the numbers over several years.,Le graphique présente l’évolution des chiffres sur plusieurs années.,der/die/das,Accusative,Accusatif,Feminine,Féminin,darstellen,"to depict, to portray, to represent, to illustrate","dépeindre, représenter, illustrer","der/die/das, Feminine, Accusative → die","der/die/das, Féminin, Accusatif → die",Accusative,Accusatif,darstellen → Accusative,darstellen → Accusatif,,,"der/die/das, Feminine, Accusative → die<br><br>darstellen → Accusative<br><br>darstellen = to depict, to portray, to represent, to illustrate","der/die/das, Féminin, Accusatif → die<br><br>darstellen → Accusatif<br><br>darstellen = dépeindre, représenter, illustrer"
229,8,Sie verdient _____ gutes Gehalt in ihrer neuen Position.,ein,Sie verdient ein gutes Gehalt in ihrer neuen Position.,She earns a good salary in her new position.,Elle gagne un bon salaire dans son nouveau poste.,ein,Accusative,Accusatif,Neuter,Neutre,verdienen,"to earn, to deserve","gagner, mériter","ein, Neuter, Accusative → ein","ein, Neutre, Accusatif → ein",Accusative,Accusatif,verdienen → Accusative,verdienen → Accusatif,,,"ein, Neuter, Accusative → ein<br><br>verdienen → Accusative<br><br>verdienen = to earn, to deserve","ein, Neutre, Accusatif → ein<br><br>verdienen → Accusatif<br><br>verdienen = gagner, mériter"
230,9,Er verpasst _____ wichtigen Termin wegen eines Missverständnisses.,den,Er verpasst den wichtigen Termin wegen eines Missverständnisses.,He misses the important appointment because of a misunderstanding.,Il manque le rendez-vous important à cause d’un malentendu.,der/die/das,Accusative,Accusatif,Masculine,Masculin,verpassen,"to miss (to be late for something, e.g. a train)","manquer (être en retard pour quelque chose, par exemple un train)","der/die/das, Masculine, Accusative → den","der/die/das, Masculin, Accusatif → den",Accusative,Accusatif,verpassen → Accusative,verpassen → Accusatif,,,"der/die/das, Masculine, Accusative → den<br><br>verpassen → Accusative<br><br>verpassen = to miss (to be late for something, e.g. a train)","der/die/das, Masculin, Accusatif → den<br><br>verpassen → Accusatif<br><br>verpassen = manquer (être en retard pour quelque chose, par exemple un train)"
231,7,Das Unternehmen zahlt _____ Rechnung innerhalb von dreißig Tagen.,die,Das Unternehmen zahlt die Rechnung innerhalb von dreißig Tagen.,The company pays the invoice within thirty days.,L’entreprise paie la facture dans un délai de trente jours.,der/die/das,Accusative,Accusatif,Feminine,Féminin,zahlen,"to pay (for something), to atone for","payer (pour quelque chose), expier","der/die/das, Feminine, Accusative → die","der/die/das, Féminin, Accusatif → die",Accusative,Accusatif,zahlen → Accusative,zahlen → Accusatif,,,"der/die/das, Feminine, Accusative → die<br><br>zahlen → Accusative<br><br>zahlen = to pay (for something), to atone for","der/die/das, Féminin, Accusatif → die<br><br>zahlen → Accusatif<br><br>zahlen = payer (pour quelque chose), expier"
232,8,Er versteht _____ komplexen Zusammenhänge nach einer ausführlichen Erklärung.,die,Er versteht die komplexen Zusammenhänge nach einer ausführlichen Erklärung.,He understands the complex connections after a detailed explanation.,Il comprend les relations complexes après une explication détaillée.,der/die/das,Accusative,Accusatif,Plural,Pluriel,verstehen,"to understand, to get along with someone","comprendre, s'entendre avec quelqu'un","der/die/das, Plural, Accusative → die","der/die/das, Pluriel, Accusatif → die",Accusative,Accusatif,verstehen → Accusative,verstehen → Accusatif,,,"der/die/das, Plural, Accusative → die<br><br>verstehen → Accusative<br><br>verstehen = to understand, to get along with someone","der/die/das, Pluriel, Accusatif → die<br><br>verstehen → Accusatif<br><br>verstehen = comprendre, s'entendre avec quelqu'un"
233,9,Sie fährt _____ Auto trotz der schwierigen Straßenverhältnisse sicher.,das,Sie fährt das Auto trotz der schwierigen Straßenverhältnisse sicher.,She drives the car safely despite the difficult road conditions.,Elle conduit la voiture en toute sécurité malgré les conditions routières difficiles.,der/die/das,Accusative,Accusatif,Neuter,Neutre,fahren,"to go (by vehicle), to leave, to drive","aller (en véhicule), partir, conduire","der/die/das, Neuter, Accusative → das","der/die/das, Neutre, Accusatif → das",Accusative,Accusatif,fahren → Accusative,fahren → Accusatif,,,"der/die/das, Neuter, Accusative → das<br><br>fahren → Accusative<br><br>fahren = to go (by vehicle), to leave, to drive","der/die/das, Neutre, Accusatif → das<br><br>fahren → Accusatif<br><br>fahren = aller (en véhicule), partir, conduire"
234,7,Er lässt _____ Bericht von einem Experten überprüfen.,den,Er lässt den Bericht von einem Experten überprüfen.,He has the report checked by an expert.,Il fait vérifier le rapport par un expert.,der/die/das,Accusative,Accusatif,Masculine,Masculin,lassen,"to let, to leave, to allow","laisser, quitter, permettre","der/die/das, Masculine, Accusative → den","der/die/das, Masculin, Accusatif → den",Accusative,Accusatif,lassen → Accusative,lassen → Accusatif,,,"der/die/das, Masculine, Accusative → den<br><br>lassen → Accusative<br><br>lassen = to let, to leave, to allow","der/die/das, Masculin, Accusatif → den<br><br>lassen → Accusatif<br><br>lassen = laisser, quitter, permettre"
