Nr,exercise,question,answer,german,english,french,adjective,gender_english,gender_french,case_english,case_french,article,article_english,article_french
778,28,Ich brauche viel _____ Wasser nach dem Training,frisches,Ich brauche viel frisches Wasser nach dem Training,I need a lot of fresh water after training,J'ai besoin de beaucoup d'eau fraîche après l'entraînement,frisch,Neuter,Neutre,Accusative,Accusatif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
779,28,Er trinkt etwas _____ Bier am Abend,kaltes,Er trinkt etwas kaltes Bier am Abend,He drinks some cold beer in the evening,Il boit de la bière fraîche le soir,kalt,Neuter,Neutre,Accusative,Accusatif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
780,28,Sie verlangt genug _____ Denken in der Prüfung,klares,Sie verlangt genug klares Denken in der Prüfung,It requires enough clear thinking in the exam,Il faut suffisamment de réflexion claire lors de l'examen,klar,Neuter,Neutre,Accusative,Accusatif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
781,28,Wir wünschen uns mehr _____ Wetter für den Urlaub,ruhiges,Wir wünschen uns mehr ruhiges Wetter für den Urlaub,We wish for more calm weather for the holidays,Nous souhaitons un temps plus calme pour les vacances,ruhig,Neuter,Neutre,Accusative,Accusatif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
782,28,Man braucht etwas _____ Licht zum Lesen,starkes,Man braucht etwas starkes Licht zum Lesen,You need some strong light to read,Vous avez besoin d'une lumière forte pour lire,stark,Neuter,Neutre,Accusative,Accusatif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
783,28,Mit viel _____ Milch gelingt der Kuchen besser,frischer,Mit viel frischer Milch gelingt der Kuchen besser,With lots of fresh milk the cake turns out better,"Avec beaucoup de lait frais, le gâteau est meilleur",frisch,Feminine,Féminin,Dative,Datif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
784,28,Bei etwas _____ Suppe vergeht ihm der Appetit,kalter,Bei etwas kalter Suppe vergeht ihm der Appetit,A little cold soup makes him lose his appetite,Une petite soupe froide lui fait perdre l'appétit,kalt,Feminine,Féminin,Dative,Datif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
785,28,Durch genug _____ Luft fühlt man sich wacher,klarer,Durch genug klarer Luft fühlt man sich wacher,Having enough clear air makes you feel more awake,Avoir suffisamment d'air pur vous fait vous sentir plus éveillé,klar,Feminine,Féminin,Dative,Datif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
786,28,Mit mehr _____ Musik kann ich mich konzentrieren,ruhiger,Mit mehr ruhiger Musik kann ich mich konzentrieren,With more calm music I can concentrate,"Avec une musique plus calme, je peux me concentrer",ruhig,Feminine,Féminin,Dative,Datif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
787,28,Zu etwas _____ Soße passt mildes Gemüse gut,starker,Zu etwas starker Soße passt mildes Gemüse gut,Mild vegetables go well with a strong sauce,Les légumes doux se marient bien avec une sauce forte,stark,Feminine,Féminin,Dative,Datif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
788,28,Mit etwas _____ Kaffee fühlt er sich besser,heißem,Mit etwas heißem Kaffee fühlt er sich besser,With some hot coffee he feels better,"Avec un peu de café chaud, il se sent mieux",heiß,Masculine,Masculin,Dative,Datif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
789,28,Sie hilft mit viel _____ Käse beim Kochen,frischem,Sie hilft mit viel frischem Käse beim Kochen,She helps with lots of fresh cheese when cooking,Elle aide beaucoup avec du fromage frais lors de la cuisine,frisch,Masculine,Masculin,Dative,Datif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
790,28,Durch genug _____ Verstand konnte er das Problem lösen,klarem,Durch genug klarem Verstand konnte er das Problem lösen,With enough clear mind he was able to solve the problem,"Avec suffisamment de lucidité, il a pu résoudre le problème",klar,Masculine,Masculin,Dative,Datif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
791,28,Er träumt von mehr _____ Schlaf in der Woche,ruhigem,Er träumt von mehr ruhigem Schlaf in der Woche,He dreams of more peaceful sleep during the week,Il rêve d'un sommeil plus paisible pendant la semaine,ruhig,Masculine,Masculin,Dative,Datif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
792,28,Mit etwas _____ Wind wird das Segeln spannend,starkem,Mit etwas starkem Wind wird das Segeln spannend,"With a bit of strong wind, sailing becomes exciting","Avec un peu de vent fort, la navigation devient passionnante",stark,Masculine,Masculin,Dative,Datif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
793,28,Mit viel _____ Wasser kocht man besser,frischem,Mit viel frischem Wasser kocht man besser,Cooking is better with plenty of fresh water,Cuisiner est meilleur avec beaucoup d'eau fraîche,frisch,Neuter,Neutre,Dative,Datif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
794,28,Bei etwas _____ Bier entspannen sie sich gern,kaltem,Bei etwas kaltem Bier entspannen sie sich gern,They like to relax with a cold beer,Ils aiment se détendre avec une bière fraîche,kalt,Neuter,Neutre,Dative,Datif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
795,28,Durch genug _____ Denken konnte er die Aufgabe lösen,klarem,Durch genug klarem Denken konnte er die Aufgabe lösen,By thinking clearly enough he was able to solve the task,"En réfléchissant suffisamment clairement, il a pu résoudre la tâche",klar,Neuter,Neutre,Dative,Datif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
796,28,Mit mehr _____ Wetter wäre die Wanderung angenehmer,ruhigem,Mit mehr ruhigem Wetter wäre die Wanderung angenehmer,With more calm weather the hike would be more pleasant,"Avec un temps plus calme, la randonnée serait plus agréable",ruhig,Neuter,Neutre,Dative,Datif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
797,28,Unter etwas _____ Licht erkennt man die Details besser,starkem,Unter etwas starkem Licht erkennt man die Details besser,Under slightly strong light you can see the details better,"Sous une lumière légèrement forte, vous pouvez mieux voir les détails",stark,Neuter,Neutre,Dative,Datif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
798,28,Der Geschmack viel _____ Milch erinnert an früher,frischer,Der Geschmack viel frischer Milch erinnert an früher,The taste of lots of fresh milk reminds of the past,Le goût de beaucoup de lait frais rappelle le passé,frisch,Feminine,Féminin,Genitive,Génitif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
799,28,Die Temperatur etwas _____ Suppe war nicht ideal,kalter,Die Temperatur etwas kalter Suppe war nicht ideal,The temperature of some cold soup was not ideal,La température de certaines soupes froides n’était pas idéale,kalt,Feminine,Féminin,Genitive,Génitif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
800,28,Die Bedeutung genug _____ Luft wird oft unterschätzt,klarer,Die Bedeutung genug klarer Luft wird oft unterschätzt,The importance of sufficient clean air is often underestimated,L’importance d’un air pur en quantité suffisante est souvent sous-estimée,klar,Feminine,Féminin,Genitive,Génitif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
801,28,Der Einfluss mehr _____ Musik ist wissenschaftlich belegt,ruhiger,Der Einfluss mehr ruhiger Musik ist wissenschaftlich belegt,The influence of more quiet music is scientifically proven,L’influence d’une musique plus calme est scientifiquement prouvée,ruhig,Feminine,Féminin,Genitive,Génitif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
802,28,Die Schärfe etwas _____ Soße überrascht viele,starker,Die Schärfe etwas starker Soße überrascht viele,The spiciness of some strong sauce surprises many,Le piquant de certaines sauces fortes surprend plus d'un,stark,Feminine,Féminin,Genitive,Génitif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
803,28,Der Geschmack viel _____ Käses ist unverwechselbar,frischen,Der Geschmack viel frischen Käses ist unverwechselbar,The taste of fresh cheese is unmistakable,Le goût du fromage frais est incomparable,frisch,Masculine,Masculin,Genitive,Génitif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
804,28,Die Wirkung etwas _____ Tees ist erstaunlich,heißen,Die Wirkung etwas heißen Tees ist erstaunlich,The effect of some hot tea is amazing,L'effet du thé chaud est incroyable,heiß,Masculine,Masculin,Genitive,Génitif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
805,28,Die Qualität genug _____ Verstands zeigt sich im Ergebnis,klaren,Die Qualität genug klaren Verstands zeigt sich im Ergebnis,The quality of a sufficiently clear mind is reflected in the result,La qualité d’un esprit suffisamment clair se reflète dans le résultat,klar,Masculine,Masculin,Genitive,Génitif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
806,28,Die Bedeutung mehr _____ Schlafs wird oft unterschätzt,ruhigen,Die Bedeutung mehr ruhigen Schlafs wird oft unterschätzt,The importance of more restful sleep is often underestimated,L’importance d’un sommeil plus réparateur est souvent sous-estimée,ruhig,Masculine,Masculin,Genitive,Génitif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
807,28,Die Stärke etwas _____ Windes wurde deutlich spürbar,starken,Die Stärke etwas starken Windes wurde deutlich spürbar,The strength of some strong wind was clearly noticeable,La force d'un vent fort était clairement perceptible,stark,Masculine,Masculin,Genitive,Génitif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
808,28,Die Qualität vielen _____ Wassers ist entscheidend.,frischen,Die Qualität vielen frischen Wassers ist entscheidend.,The quality of plenty of fresh water is crucial.,La qualité de l’eau douce en abondance est cruciale.,frisch,Neuter,Neutre,Genitive,Génitif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
809,28,Der Geschmack etwas _____ Biers ist nicht jedermanns Sache,kalten,Der Geschmack etwas kalten Biers ist nicht jedermanns Sache,The taste of a little cold beer is not for everyone,Le goût d'une petite bière fraîche n'est pas pour tout le monde,kalt,Neuter,Neutre,Genitive,Génitif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
810,28,Die Klarheit genug _____ Denkens zeigt sich im Ergebnis,klaren,Die Klarheit genug klaren Denkens zeigt sich im Ergebnis,The clarity of sufficiently clear thinking is reflected in the result,La clarté d’une pensée suffisamment claire se reflète dans le résultat,klar,Neuter,Neutre,Genitive,Génitif,Singular Menge Artikel (Starke Deklination),Uncountable Quantifier Article (Strong Declension),Article quantificateur indénombrable (déclinaison forte)
